observableId	simulationConditionId	time	measurement	noiseParameters	replicateId
obs_p1	cond0	0.0	-0.12339665709663274	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	2.5	-0.1518944036926919	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	5.0	0.8291671474722859	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	7.5	1.0375937697115116	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	10.0	1.045109742766313	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	12.5	0.9601625723008855	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	15.0	1.762828455139323	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	17.5	1.474599136081874	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	20.0	1.9996160433327865	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	22.5	2.1715844608709594	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	25.0	3.8210052231666234	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	27.5	4.382811716611891	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	30.0	5.147963782268393	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	32.5	5.586156528580543	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	35.0	4.8046748217306074	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	37.5	4.3236048772374005	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	40.0	7.4006151438554015	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	42.5	6.213628993437018	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	45.0	5.597042667121623	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	47.5	8.069476990593918	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	50.0	7.771441647540245	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	0.0	0.3684575086913378	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	2.5	0.23439370863299863	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	5.0	0.3907921593792444	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	7.5	1.0836614199814893	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	10.0	1.5813254568953994	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	12.5	1.5911337370961443	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	15.0	1.6516306056108523	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	17.5	2.8923105121500443	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	20.0	4.331476266543885	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	22.5	4.61266989976471	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	25.0	7.877138671682546	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	27.5	11.384581870102359	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	30.0	24.973908529027845	sigma_rel_medium;sigma_abs_medium	rep1
