parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
beta_1	beta_1	lin	1e-06	100.0	1.0	1
beta_2	beta_2	lin	1e-06	100.0	1.0	1
beta_3	beta_3	lin	1e-06	100.0	1.0	1
beta_4	beta_4	lin	1e-06	100.0	1.0	1
beta_5	beta_5	lin	1e-06	100.0	1.0	1
beta_6	beta_6	lin	1e-06	100.0	1.0	1
beta_7	beta_7	lin	1e-06	100.0	1.0	1
beta_8	beta_8	lin	1e-06	100.0	1.0	1
beta_9	beta_9	lin	1e-06	100.0	1.0	1
beta_10	beta_10	lin	1e-06	100.0	1.0	1
beta_11	beta_11	lin	1e-06	100.0	1.0	1
beta_12	beta_12	lin	1e-06	100.0	1.0	1
beta_13	beta_13	lin	1e-06	100.0	1.0	1
beta_14	beta_14	lin	1e-06	100.0	1.0	1
beta_15	beta_15	lin	1e-06	100.0	1.0	1
beta_16	beta_16	lin	1e-06	100.0	1.0	1
beta_17	beta_17	lin	1e-06	100.0	1.0	1
beta_18	beta_18	lin	1e-06	100.0	1.0	1
beta_19	beta_19	lin	1e-06	100.0	1.0	1
beta_20	beta_20	lin	1e-06	100.0	1.0	1
gamma_1	gamma_1	lin	1e-06	100.0	1.0	1
gamma_2	gamma_2	lin	1e-06	100.0	1.0	1
gamma_3	gamma_3	lin	1e-06	100.0	1.0	1
gamma_4	gamma_4	lin	1e-06	100.0	1.0	1
gamma_5	gamma_5	lin	1e-06	100.0	1.0	1
gamma_6	gamma_6	lin	1e-06	100.0	1.0	1
gamma_7	gamma_7	lin	1e-06	100.0	1.0	1
gamma_8	gamma_8	lin	1e-06	100.0	1.0	1
gamma_9	gamma_9	lin	1e-06	100.0	1.0	1
gamma_10	gamma_10	lin	1e-06	100.0	1.0	1
gamma_11	gamma_11	lin	1e-06	100.0	1.0	1
gamma_12	gamma_12	lin	1e-06	100.0	1.0	1
gamma_13	gamma_13	lin	1e-06	100.0	1.0	1
gamma_14	gamma_14	lin	1e-06	100.0	1.0	1
gamma_15	gamma_15	lin	1e-06	100.0	1.0	1
gamma_16	gamma_16	lin	1e-06	100.0	1.0	1
gamma_17	gamma_17	lin	1e-06	100.0	1.0	1
gamma_18	gamma_18	lin	1e-06	100.0	1.0	1
gamma_19	gamma_19	lin	1e-06	100.0	1.0	1
gamma_20	gamma_20	lin	1e-06	100.0	1.0	1
k_1	k_1	lin	1e-06	100.0	1.0	1
k_2	k_2	lin	1e-06	100.0	1.0	1
k_3	k_3	lin	1e-06	100.0	1.0	1
k_4	k_4	lin	1e-06	100.0	1.0	1
k_5	k_5	lin	1e-06	100.0	1.0	1
k_6	k_6	lin	1e-06	100.0	1.0	1
k_7	k_7	lin	1e-06	100.0	1.0	1
k_8	k_8	lin	1e-06	100.0	1.0	1
k_9	k_9	lin	1e-06	100.0	1.0	1
k_10	k_10	lin	1e-06	100.0	1.0	1
k_11	k_11	lin	1e-06	100.0	1.0	1
k_12	k_12	lin	1e-06	100.0	1.0	1
k_13	k_13	lin	1e-06	100.0	1.0	1
k_14	k_14	lin	1e-06	100.0	1.0	1
k_15	k_15	lin	1e-06	100.0	1.0	1
k_16	k_16	lin	1e-06	100.0	1.0	1
k_17	k_17	lin	1e-06	100.0	1.0	1
k_18	k_18	lin	1e-06	100.0	1.0	1
k_19	k_19	lin	1e-06	100.0	1.0	1
k_20	k_20	lin	1e-06	100.0	1.0	1
delta_1	delta_1	lin	1e-06	100.0	1.0	1
delta_2	delta_2	lin	1e-06	100.0	1.0	1
delta_3	delta_3	lin	1e-06	100.0	1.0	1
delta_4	delta_4	lin	1e-06	100.0	1.0	1
delta_5	delta_5	lin	1e-06	100.0	1.0	1
delta_6	delta_6	lin	1e-06	100.0	1.0	1
delta_7	delta_7	lin	1e-06	100.0	1.0	1
delta_8	delta_8	lin	1e-06	100.0	1.0	1
delta_9	delta_9	lin	1e-06	100.0	1.0	1
delta_10	delta_10	lin	1e-06	100.0	1.0	1
delta_11	delta_11	lin	1e-06	100.0	1.0	1
delta_12	delta_12	lin	1e-06	100.0	1.0	1
delta_13	delta_13	lin	1e-06	100.0	1.0	1
delta_14	delta_14	lin	1e-06	100.0	1.0	1
delta_15	delta_15	lin	1e-06	100.0	1.0	1
delta_16	delta_16	lin	1e-06	100.0	1.0	1
delta_17	delta_17	lin	1e-06	100.0	1.0	1
delta_18	delta_18	lin	1e-06	100.0	1.0	1
delta_19	delta_19	lin	1e-06	100.0	1.0	1
delta_20	delta_20	lin	1e-06	100.0	1.0	1
alpha0_1	alpha0_1	lin	1e-06	100.0	1.0	1
alpha0_2	alpha0_2	lin	1e-06	100.0	1.0	1
alpha0_3	alpha0_3	lin	1e-06	100.0	1.0	1
alpha0_4	alpha0_4	lin	1e-06	100.0	1.0	1
alpha0_5	alpha0_5	lin	1e-06	100.0	1.0	1
alpha0_6	alpha0_6	lin	1e-06	100.0	1.0	1
alpha0_7	alpha0_7	lin	1e-06	100.0	1.0	1
alpha0_8	alpha0_8	lin	1e-06	100.0	1.0	1
alpha0_9	alpha0_9	lin	1e-06	100.0	1.0	1
alpha0_10	alpha0_10	lin	1e-06	100.0	1.0	1
alpha0_11	alpha0_11	lin	1e-06	100.0	1.0	1
alpha0_12	alpha0_12	lin	1e-06	100.0	1.0	1
alpha0_13	alpha0_13	lin	1e-06	100.0	1.0	1
alpha0_14	alpha0_14	lin	1e-06	100.0	1.0	1
alpha0_15	alpha0_15	lin	1e-06	100.0	1.0	1
alpha0_16	alpha0_16	lin	1e-06	100.0	1.0	1
alpha0_17	alpha0_17	lin	1e-06	100.0	1.0	1
alpha0_18	alpha0_18	lin	1e-06	100.0	1.0	1
alpha0_19	alpha0_19	lin	1e-06	100.0	1.0	1
alpha0_20	alpha0_20	lin	1e-06	100.0	1.0	1
m0_1	m0_1	lin	1e-06	100.0	1.0	1
m0_2	m0_2	lin	1e-06	100.0	1.0	1
m0_3	m0_3	lin	1e-06	100.0	1.0	1
m0_4	m0_4	lin	1e-06	100.0	1.0	1
m0_5	m0_5	lin	1e-06	100.0	1.0	1
m0_6	m0_6	lin	1e-06	100.0	1.0	1
m0_7	m0_7	lin	1e-06	100.0	1.0	1
m0_8	m0_8	lin	1e-06	100.0	1.0	1
m0_9	m0_9	lin	1e-06	100.0	1.0	1
m0_10	m0_10	lin	1e-06	100.0	1.0	1
m0_11	m0_11	lin	1e-06	100.0	1.0	1
m0_12	m0_12	lin	1e-06	100.0	1.0	1
m0_13	m0_13	lin	1e-06	100.0	1.0	1
m0_14	m0_14	lin	1e-06	100.0	1.0	1
m0_15	m0_15	lin	1e-06	100.0	1.0	1
m0_16	m0_16	lin	1e-06	100.0	1.0	1
m0_17	m0_17	lin	1e-06	100.0	1.0	1
m0_18	m0_18	lin	1e-06	100.0	1.0	1
m0_19	m0_19	lin	1e-06	100.0	1.0	1
m0_20	m0_20	lin	1e-06	100.0	1.0	1
p0_1	p0_1	lin	1e-06	100.0	1.0	1
p0_2	p0_2	lin	1e-06	100.0	1.0	1
p0_3	p0_3	lin	1e-06	100.0	1.0	1
p0_4	p0_4	lin	1e-06	100.0	1.0	1
p0_5	p0_5	lin	1e-06	100.0	1.0	1
p0_6	p0_6	lin	1e-06	100.0	1.0	1
p0_7	p0_7	lin	1e-06	100.0	1.0	1
p0_8	p0_8	lin	1e-06	100.0	1.0	1
p0_9	p0_9	lin	1e-06	100.0	1.0	1
p0_10	p0_10	lin	1e-06	100.0	1.0	1
p0_11	p0_11	lin	1e-06	100.0	1.0	1
p0_12	p0_12	lin	1e-06	100.0	1.0	1
p0_13	p0_13	lin	1e-06	100.0	1.0	1
p0_14	p0_14	lin	1e-06	100.0	1.0	1
p0_15	p0_15	lin	1e-06	100.0	1.0	1
p0_16	p0_16	lin	1e-06	100.0	1.0	1
p0_17	p0_17	lin	1e-06	100.0	1.0	1
p0_18	p0_18	lin	1e-06	100.0	1.0	1
p0_19	p0_19	lin	1e-06	100.0	1.0	1
p0_20	p0_20	lin	1e-06	100.0	1.0	1
sigma_rel_medium	sigma_rel_medium	lin	1e-08	1.0	0.1	0
sigma_abs_medium	sigma_abs_medium	lin	1e-08	1000000.0	1.0	0
