observableId	observableFormula	noiseFormula	noiseDistribution	observableName
obs_p1	p1	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_1
obs_p2	p2	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_2
obs_p3	p3	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_3
obs_p4	p4	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_4
obs_p5	p5	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_5
obs_p6	p6	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_6
obs_p7	p7	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_7
obs_p8	p8	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_8
obs_p9	p9	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_9
obs_p10	p10	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_10
obs_p11	p11	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_11
obs_p12	p12	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_12
obs_p13	p13	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_13
obs_p14	p14	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_14
obs_p15	p15	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_15
obs_p16	p16	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_16
obs_p17	p17	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_17
obs_p18	p18	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_18
obs_p19	p19	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_19
obs_p20	p20	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_20
