observableId	observableFormula	noiseFormula	noiseDistribution	observableName
obs_p2	p2	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_2
obs_p3	p3	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_3
obs_p4	p4	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_4
obs_p5	p5	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_5
obs_p8	p8	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_8
obs_p16	p16	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_16
obs_p26	p26	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_26
obs_p27	p27	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_27
obs_p28	p28	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_28
obs_p31	p31	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_31
obs_p33	p33	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_33
obs_p34	p34	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_34
obs_p36	p36	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_36
obs_p38	p38	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_38
obs_p39	p39	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_39
obs_p40	p40	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_40
obs_p41	p41	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_41
obs_p43	p43	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_43
obs_p44	p44	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_44
obs_p45	p45	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_45
obs_p50	p50	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_50
obs_p51	p51	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_51
obs_p53	p53	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_53
obs_p70	p70	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_70
obs_p76	p76	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_76
obs_p79	p79	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_79
obs_p84	p84	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_84
obs_p85	p85	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_85
obs_p92	p92	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_92
obs_p93	p93	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_93
obs_p94	p94	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_94
obs_p97	p97	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_97
obs_p109	p109	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_109
obs_p110	p110	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_110
obs_p124	p124	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_124
obs_p126	p126	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_126
obs_p127	p127	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_127
obs_p130	p130	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_130
obs_p132	p132	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_132
obs_p133	p133	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_133
obs_p137	p137	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_137
obs_p138	p138	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_138
obs_p143	p143	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_143
obs_p144	p144	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_144
obs_p148	p148	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_148
obs_p155	p155	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_155
obs_p157	p157	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_157
obs_p160	p160	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_160
obs_p162	p162	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_162
obs_p163	p163	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_163
obs_p169	p169	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_169
obs_p175	p175	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_175
obs_p176	p176	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_176
obs_p178	p178	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_178
obs_p182	p182	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_182
obs_p190	p190	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_190
obs_p191	p191	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_191
obs_p192	p192	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_192
obs_p193	p193	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_193
obs_p196	p196	noiseParameter1*abs(observable)+noiseParameter2	normal	protein_196
