observableId	simulationConditionId	time	measurement	noiseParameters	replicateId
obs_p1	cond0	0.0	0.5763971085138409	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	2.5	0.21754309764893381	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	5.0	1.3801716651068294	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	7.5	3.560951711607687	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	10.0	4.916057417644722	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	12.5	7.702664579168502	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	15.0	8.052432284315723	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	17.5	10.846195142392785	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	20.0	9.787275207485889	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	22.5	10.93858232091236	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	25.0	9.748361324298696	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	27.5	11.033189072002159	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	30.0	10.203525685317306	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	32.5	9.272708726175674	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	35.0	10.192030504717614	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	37.5	10.673166038804926	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	40.0	9.47066644226545	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	42.5	9.799016498870559	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	45.0	6.413462395204247	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	47.5	8.213868298281842	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	50.0	7.851257895934779	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	0.0	0.3227690603814556	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	2.5	1.1414083269051893	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	5.0	2.111464575699896	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	7.5	3.9600716352320022	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	10.0	4.445159051579281	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	12.5	6.762668783058066	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	15.0	8.074419292653749	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	17.5	9.390100239048627	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	20.0	10.319695574162173	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	22.5	10.691268527779345	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	25.0	10.495904133896811	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	27.5	11.997261041210868	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	30.0	11.981782929208274	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	32.5	14.35031792677805	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	35.0	13.47195937391579	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	37.5	14.780805999287264	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	40.0	11.615035182273868	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	42.5	16.307381532333256	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	45.0	10.766592489141708	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	47.5	15.168744497777155	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	50.0	16.530563449357125	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	0.0	-0.1713523188260605	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	2.5	0.14008621736348065	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	5.0	1.2853131918834078	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	7.5	0.6823428497563963	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	10.0	2.0530449367982153	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	12.5	2.5516951790009497	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	15.0	3.135543946089715	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	17.5	3.8902235601959956	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	20.0	4.732975667230673	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	22.5	4.230258704316283	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	25.0	7.7988586440191945	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	27.5	6.502765175257511	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	30.0	7.837360232228094	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	32.5	7.406589541133555	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	35.0	6.84199028419647	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	37.5	7.830865973860885	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	40.0	8.081902002375267	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	42.5	9.958436956604054	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	45.0	8.688463698474587	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	47.5	10.854643621188462	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	50.0	10.333194959317101	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	0.0	0.20977919580575224	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	2.5	0.7024015371849569	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	5.0	1.3580919512051621	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	7.5	2.86316166081494	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	10.0	3.9474291718070083	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	12.5	6.75051607828966	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	15.0	7.798896575590743	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	17.5	10.148410567509309	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	20.0	13.203640279159565	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	22.5	14.36903406416181	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	25.0	16.452277018939096	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	27.5	20.00379455614439	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	30.0	19.274463351724563	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	32.5	24.39486232386912	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	35.0	21.361573841925512	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	37.5	33.380219886548026	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	40.0	31.814866640053122	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	42.5	30.245416421925658	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	45.0	34.000539530293146	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	47.5	33.90596819507998	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	50.0	36.42058234709782	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	0.0	-0.15745450856094725	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	2.5	0.13694975583312508	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	5.0	1.1808974908523464	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	7.5	2.0542685040403845	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	10.0	3.396986552326093	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	12.5	4.599477199413133	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	15.0	7.552002149532027	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	17.5	8.914819439966378	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	20.0	10.724406858561931	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	22.5	10.199514540800637	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	25.0	14.642488577530258	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	27.5	14.620451558639198	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	30.0	14.490851938945346	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	32.5	16.88166318262601	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	35.0	19.13295302515991	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	37.5	23.808652707374993	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	40.0	23.921931661801807	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	42.5	26.819090323567693	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	45.0	27.68783990583476	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	47.5	27.960610507094835	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	50.0	23.113343961554566	sigma_rel_medium;sigma_abs_medium	rep1
obs_p15	cond0	0.0	0.05900405564978074	sigma_rel_medium;sigma_abs_medium	rep1
obs_p15	cond0	2.5	0.6585879656043555	sigma_rel_medium;sigma_abs_medium	rep1
obs_p15	cond0	5.0	1.35125288260621	sigma_rel_medium;sigma_abs_medium	rep1
obs_p15	cond0	7.5	3.1519479218710753	sigma_rel_medium;sigma_abs_medium	rep1
obs_p15	cond0	10.0	4.267323056002971	sigma_rel_medium;sigma_abs_medium	rep1
obs_p15	cond0	12.5	5.9726163042194	sigma_rel_medium;sigma_abs_medium	rep1
